PC1,PC2,PC3,PC4,Rings
-1.7882452448805115,0.7573404419753565,-0.3042415210354684,-0.3919426421834996,15
-3.3990267021910587,0.7812933704847197,-0.5052941935328501,-0.5823656054977395,7
-0.44972959685393427,-0.715681109930569,-0.6531659188909426,0.0009985798333733698,9
-1.4999599559694843,0.7177805056425575,-0.5470590713673634,-0.0954699811739533,10
-3.8589506524968304,-0.07266730860974155,0.5021401261394964,-0.17518379627481756,7
-2.7235189607738914,-0.11736693457375283,0.47883264469361997,0.1512965322140019,8
0.0471054647851082,-0.7508724201779097,-0.753134843095353,0.16902501585277113,20
-0.18167296649193032,-0.6968754153136558,-0.4578520015738575,-0.17959423655240137,16
-1.3496120031172887,0.7049132375004453,-0.5789402541258525,0.019758366287654025,9
0.4373968746538633,-0.7324116322045763,-0.5990652374110338,0.09554167742426167,19
-0.7130220418982103,-0.7297163331143662,-0.7680366919349736,0.03247012836814642,14
-2.0719565035344933,0.7255695152354896,-0.5820088665937926,-0.1308947816464528,10
-1.131238155242084,0.6809255144254158,-0.7020834558870049,0.24897033090552845,11
-0.2735277760462466,-0.7168162888973549,-0.6406737254419893,-0.029854564110688625,10
-1.8229370272347145,-0.6675003442898705,-0.5766251954809442,-0.3801336591176553,10
-0.6383898079452559,0.6933747285089477,-0.4937293546563254,0.0586683075325178,12
-3.393971916036111,-0.09718568351075821,0.4631613274467521,-0.006607332291039325,7
-2.088572682194639,-0.6407382228949762,-0.5077270316424375,-0.5570912341724211,10
-3.2498733963706052,0.7761258512454602,-0.46476278544139626,-0.5535263857567335,7
-2.3109785173605983,0.746911889174555,-0.4870425760548146,-0.2758542161089019,9
-3.2068242564247016,0.767498249646212,-0.5451297693204386,-0.5011274626551379,11
-3.311957437553869,-0.1264650506023876,0.28211920744746355,0.24350742874653852,10
0.8427003955635999,-0.6934677839661054,-0.331328249310485,-0.19607588002639748,12
-0.023454785963635885,-0.688641648931907,-0.39396885989202357,-0.29948975721834314,9
1.9704697941782034,-0.6947823031029645,-0.09916613325358661,-0.29818399161667075,10
0.587481697535417,-0.6924220206233641,-0.3224208468354305,-0.23170706070273142,11
